KeysPressed,StartTappingTime,FingertappingRound,CorrectSequence,ParticipantID
2,3.3021465000001626,1,24312,2
4,3.499969500000134,1,24312,2
3,3.7507783000000927,1,24312,2
1,3.9684735999999248,1,24312,2
2,4.136276600000201,1,24312,2
2,1.3097169000002395,2,21342,2
1,1.4413133000002745,2,21342,2
3,2.263223900000412,2,21342,2
4,2.4147554000001037,2,21342,2
2,3.054341300000033,2,21342,2
KeysPressed,StartTappingTime,FingertappingRound,CorrectSequence,ParticipantID
2,1.111041600000135,1,23412,2
3,1.3049697000001288,1,23412,2
4,2.371803,1,23412,2
1,3.05182190000005,1,23412,2
2,3.245026499999767,1,23412,2
3,3.6704734999998436,1,23412,2
2,5.289972499999749,1,23412,2
3,5.669879499999752,1,23412,2
4,6.0254870999997365,1,23412,2
1,6.429099299999962,1,23412,2
2,6.787698900000123,1,23412,2
2,7.1660564999997405,1,23412,2
3,7.462755399999878,1,23412,2
4,7.760532400000102,1,23412,2
1,8.094969599999786,1,23412,2
2,8.4774110999997,1,23412,2
2,9.041015700000116,1,23412,2
3,9.310192500000085,1,23412,2
4,9.625373200000013,1,23412,2
1,9.921558600000026,1,23412,2
2,10.142301399999724,1,23412,2
2,10.673584000000119,1,23412,2
3,10.89289800000006,1,23412,2
4,11.163994799999728,1,23412,2
1,11.43695519999983,1,23412,2
2,11.712528600000041,1,23412,2
2,12.284734800000024,1,23412,2
3,12.559800900000027,1,23412,2
4,12.825745900000129,1,23412,2
1,13.100179600000047,1,23412,2
2,13.335156799999822,1,23412,2
2,13.787820099999863,1,23412,2
3,14.020318599999882,1,23412,2
4,14.313446999999996,1,23412,2
1,14.582759299999907,1,23412,2
2,14.837967599999956,1,23412,2
2,15.280821800000012,1,23412,2
3,15.512528499999917,1,23412,2
4,15.766770400000041,1,23412,2
1,16.028888699999698,1,23412,2
2,16.277066699999978,1,23412,2
2,16.738018499999725,1,23412,2
3,16.963364100000035,1,23412,2
4,17.228604899999937,1,23412,2
1,17.508492399999795,1,23412,2
2,17.753966899999796,1,23412,2
2,18.207111299999724,1,23412,2
3,18.449905099999796,1,23412,2
4,18.71933769999987,1,23412,2
1,19.079147999999805,1,23412,2
2,19.379512299999988,1,23412,2
2,19.943744400000014,1,23412,2
3,20.199585399999705,1,23412,2
4,20.44965749999983,1,23412,2
1,20.704516499999954,1,23412,2
2,20.942102299999988,1,23412,2
2,21.43121149999979,1,23412,2
3,21.669269600000007,1,23412,2
4,21.92855819999977,1,23412,2
1,22.1789375999997,1,23412,2
2,22.404537599999912,1,23412,2
2,22.91055729999971,1,23412,2
3,23.134268299999803,1,23412,2
4,23.381071499999962,1,23412,2
1,23.644131900000048,1,23412,2
2,23.903107399999953,1,23412,2
2,24.38711340000009,1,23412,2
3,24.625900900000033,1,23412,2
4,24.878873300000123,1,23412,2
1,25.110313399999995,1,23412,2
2,25.380439199999728,1,23412,2
2,25.872108000000026,1,23412,2
3,26.105500199999824,1,23412,2
4,26.321842699999706,1,23412,2
1,26.58112260000007,1,23412,2
2,26.805900800000018,1,23412,2
2,27.354024599999775,1,23412,2
3,27.600946300000032,1,23412,2
4,27.843764499999907,1,23412,2
1,28.077148999999736,1,23412,2
2,28.314601799999764,1,23412,2
2,29.071006600000146,1,23412,2
3,29.358142000000043,1,23412,2
4,29.64803979999988,1,23412,2
2,1.3947981999999683,2,21342,2
1,1.6041040999998586,2,21342,2
3,1.827173600000151,2,21342,2
4,2.364493300000049,2,21342,2
2,2.6789402999997947,2,21342,2
2,3.410996199999772,2,21342,2
1,3.670031199999812,2,21342,2
3,3.9472046999999293,2,21342,2
4,4.240542800000185,2,21342,2
2,4.504196999999749,2,21342,2
2,5.288708600000064,2,21342,2
1,5.5213561999999,2,21342,2
3,5.836565000000064,2,21342,2
4,6.186183599999822,2,21342,2
2,6.523890699999811,2,21342,2
2,7.194073300000127,2,21342,2
1,7.44701619999978,2,21342,2
3,7.955898600000182,2,21342,2
4,8.317372599999999,2,21342,2
2,8.695966700000099,2,21342,2
2,9.395028800000091,2,21342,2
1,9.69177159999981,2,21342,2
